Keyword,Country,Search Volume,PPC Comp.,PPC Comp. Score (%)
"lenguaje natural",Spain,90,1,0
"lenguaje natural de programacion",Spain,10,1,0
"procesamiento del lenguaje natural",Spain,70,1,0
"procesamiento lenguaje natural",Spain,20,1,1
